"dimBoot1","dimBoot2","dimBoot3","GROUP","Sex","IDENT_SUBID"
-0.892880892915409,1.14615740001186,0.199925233709276,"PI","female","PA152_V1"
-1.0106146648078,-0.56656512856901,-0.135076846360563,"DA","male","PA153_V1"
5.66556543840147,-0.676626123242241,0.126011435620622,"DA","female","PA154_V1"
4.69129146474313,-1.46282446621501,0.742036055094809,"DA","male","PA155_V1"
-0.108079278086595,1.79655753607547,0.324111360092295,"PI","male","PA156_V1"
-0.0917858080899296,1.67628458931231,0.308839387788521,"PI","female","PA157_V1"
-1.33874281773523,0.100364879527416,-0.0184650787221302,"DA","female","PA158_V1"
6.19000093583495,0.100676169189465,0.323750699277097,"DA","female","PA159_V1"
8.1462356951424,-1.31690831673919,0.0351297073308029,"DA","male","PA160_V1"
-1.50357849132119,0.553008972341819,0.0920676113842025,"PI","female","PA162_V1"
